mes	dia	anio	salta	lomitas	iguazu	corrientes	posadas	rioja	ceres	paso	sauce	parana	caseros	mendoza	reynolds	rosario	guale	laboulaye	pehuajo	junin	ezeiza	starosa	neuquen	bblanca	esquel	gallegos
3	6	1961	4.5	0.5	4.8	-99.9	0	0.2	0	0	0	0	0	0.6	0.1	0	0	0	0	0	0	0	0	0	0	3
3	7	1961	0	0.1	0	-99.9	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
3	8	1961	0	0	0	-99.9	0	0	0	7	0	0	4.6	0	0	0	0	0	0	0	1.5	3.3	0	0	1.8	0
3	9	1961	0	0	0	-99.9	0	0	14.2	0.2	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0
3	10	1961	0	16.3	0	-99.9	0.7	2.7	6.1	21	107.7	26.6	20.1	6.6	22.5	40.6	0	0	0	0	0	0	0	0	0	0
3	11	1961	0	1	11.2	-99.9	14.8	14.6	14.3	0.4	48.3	22	0	2	54.8	40.6	18.5	15.3	15.1	22.5	0	19	0	4.3	0	0
3	12	1961	0	0.5	158.5	-99.9	64.7	0	2.3	0	0	0	0	0	0	0	0.2	0	6.6	0	17.2	0	0	0	6.8	0.1
3	13	1961	0	0	11	-99.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6	0	0	0	0
3	14	1961	0	0.8	0	-99.9	0	0	0	0	0	0	0	0	0	2.8	0	42.2	0	0.1	0	6.8	0	0	0	0.7
3	15	1961	0	0	0	-99.9	6.6	4.6	4.5	28	42.2	37.9	41.2	2.8	22.5	30.2	28.8	43.7	1	5.4	1.3	0	0	0	0	0.6
3	16	1961	6.7	2.8	28.8	-99.9	65.4	9.1	17.9	43	2.5	2.2	13.2	0	0	0.8	1.3	0	0	0	0	0	0	0	0	0.2
3	17	1961	0	0	2.3	-99.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
3	18	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6
3	19	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-99.9	0	0	0
3	20	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.4
3	21	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.4	0	0
3	22	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	23	1961	0	0	0	-99.9	0	0	72.5	0	0	0.9	0	0	0	3.8	14.2	2.3	0	7.4	1.2	0	0	0	0	0.4
3	24	1961	0	0	0	-99.9	0.2	14.2	49.2	40	21.4	25.3	59.8	0	0.1	23	17.1	0.9	0	0	22.3	0	0.3	0	0	0
3	25	1961	19.8	6	0.6	-99.9	14.9	16	0	3.8	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0
3	26	1961	24	10.9	1.4	-99.9	0.2	4.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	27	1961	10.2	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8	0
3	28	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3	0
3	29	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	30	1961	5.8	0	0	-99.9	0	0	0	0	46.2	45.2	0	0	0	74	26.9	22.5	0	17.9	15.5	0.3	0	0.9	5.2	0
3	31	1961	0	0.4	0	-99.9	3	0	7.4	27.4	37	39.8	56.1	0	0	14.3	2.4	0.5	0	0	0	0	0	0	0	0
4	1	1961	0.3	46.4	0	-99.9	0	6.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0
4	2	1961	0	0.1	14	-99.9	0	0	0	0.3	12.3	2.7	1.5	0	0.7	20.7	1.6	21.8	1	11.1	7.7	0	0	0	0	0
4	3	1961	0	0.2	9	-99.9	18.3	0	0.2	0.1	6	3.4	0	0	0	23.1	2.4	1.6	6.4	5.9	2.2	4.6	0	0	0	0
4	4	1961	0	1.3	2.6	-99.9	0	0	2.1	13.5	3.9	0	6	0	0	1.2	5.8	0	0	0	0	0	0	5.2	1.4	0.5
4	5	1961	0	0	0	-99.9	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	6	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1	0	0	0	0	6	1.5
4	7	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	44.9	30	0	0	17.2	18.2	0	0	0.1	1.4	0
4	8	1961	0.4	0	0	-99.9	20.7	2.6	0	48.5	0	0	24.2	0	0	0.2	0	0	0	0	0	0	0	0	0	0
4	9	1961	0.8	0.2	0	-99.9	11.2	3.4	0	17	0.1	0	5	0	2.6	0	0	12	0	0	0	0	0	0	0	1
